OBJECTID;Shape_Length;Shape_Area;GRID_ID;X;Y;TemperatureAverage_PerYear;PrecipitationAverage_PerYear;LandUseType
1;4000;1000000;A-12;-7214477;-387750;29;0,272595726;N
2;4000;1000000;B-12;-7213477;-387750;33;0,053613809;S
3;4000;1000000;C-12;-7212477;-387750;30;0,008554926;N
4;4000;1000000;D-12;-7211477;-387750;25;0,275325292;N
5;4000;1000000;E-12;-7210477;-387750;24;0,738829562;S
6;4000;1000000;F-12;-7209477;-387750;24;0,73680843;P
7;4000;1000000;G-12;-7208477;-387750;27;0,785154312;S
8;4000;1000000;H-12;-7207477;-387750;32;0,348695363;S
9;4000;1000000;I-12;-7206477;-387750;29;0,33017979;S
10;4000;1000000;J-12;-7205477;-387750;33;0,707361158;P
11;4000;1000000;K-12;-7204477;-387750;27;0,914265319;P
12;4000;1000000;L-12;-7203477;-387750;23;0,31429771;P
13;4000;1000000;M-12;-7202477;-387750;28;0,280842682;S
14;4000;1000000;A-11;-7214477;-386750;32;0,095820969;N
15;4000;1000000;B-11;-7213477;-386750;23;0,253238162;S
16;4000;1000000;C-11;-7212477;-386750;26;0,087751058;S
17;4000;1000000;D-11;-7211477;-386750;25;0,134189855;P
18;4000;1000000;E-11;-7210477;-386750;22;0,072422632;N
19;4000;1000000;F-11;-7209477;-386750;29;0,541488153;N
20;4000;1000000;G-11;-7208477;-386750;23;0,805599499;P
21;4000;1000000;H-11;-7207477;-386750;28;0,990775263;S
22;4000;1000000;I-11;-7206477;-386750;27;0,13505627;P
23;4000;1000000;J-11;-7205477;-386750;28;0,154029826;S
24;4000;1000000;K-11;-7204477;-386750;22;0,583495023;P
25;4000;1000000;L-11;-7203477;-386750;30;0,973831168;P
26;4000;1000000;M-11;-7202477;-386750;27;0,772844617;S
27;4000;1000000;A-10;-7214477;-385750;32;0,582766275;N
28;4000;1000000;B-10;-7213477;-385750;29;0,257237251;S
29;4000;1000000;C-10;-7212477;-385750;23;0,355519735;S
30;4000;1000000;D-10;-7211477;-385750;26;0,363475464;S
31;4000;1000000;E-10;-7210477;-385750;26;0,128787967;N
32;4000;1000000;F-10;-7209477;-385750;23;0,620993071;P
33;4000;1000000;G-10;-7208477;-385750;28;0,027931794;S
34;4000;1000000;H-10;-7207477;-385750;24;0,356403708;N
35;4000;1000000;I-10;-7206477;-385750;22;0,514626921;S
36;4000;1000000;J-10;-7205477;-385750;23;0,015000618;S
37;4000;1000000;K-10;-7204477;-385750;32;0,573784422;N
38;4000;1000000;L-10;-7203477;-385750;26;0,755768775;S
39;4000;1000000;M-10;-7202477;-385750;30;0,240161251;S
40;4000;1000000;A-9;-7214477;-384750;32;0,835317988;N
41;4000;1000000;B-9;-7213477;-384750;27;0,781743062;P
42;4000;1000000;C-9;-7212477;-384750;29;0,219678917;N
43;4000;1000000;D-9;-7211477;-384750;30;0,370730261;N
44;4000;1000000;E-9;-7210477;-384750;25;0,819987977;N
45;4000;1000000;F-9;-7209477;-384750;31;0,67625561;S
46;4000;1000000;G-9;-7208477;-384750;23;0,925201491;S
47;4000;1000000;H-9;-7207477;-384750;33;0,58107586;P
48;4000;1000000;I-9;-7206477;-384750;22;0,990737044;P
49;4000;1000000;J-9;-7205477;-384750;29;0,944815208;P
50;4000;1000000;K-9;-7204477;-384750;22;0,777143399;P
51;4000;1000000;L-9;-7203477;-384750;27;0,33084211;N
52;4000;1000000;M-9;-7202477;-384750;26;0,780021844;P
53;4000;1000000;A-8;-7214477;-383750;22;0,306192899;P
54;4000;1000000;B-8;-7213477;-383750;29;0,595278225;P
55;4000;1000000;C-8;-7212477;-383750;29;0,008192407;N
56;4000;1000000;D-8;-7211477;-383750;22;0,582803272;S
57;4000;1000000;E-8;-7210477;-383750;29;0,229821302;S
58;4000;1000000;F-8;-7209477;-383750;32;0,04580882;S
59;4000;1000000;G-8;-7208477;-383750;32;0,077446149;S
60;4000;1000000;H-8;-7207477;-383750;32;0,558699274;N
61;4000;1000000;I-8;-7206477;-383750;32;0,261192324;P
62;4000;1000000;J-8;-7205477;-383750;25;0,009154275;S
63;4000;1000000;K-8;-7204477;-383750;29;0,667764038;N
64;4000;1000000;L-8;-7203477;-383750;29;0,695260085;P
65;4000;1000000;M-8;-7202477;-383750;30;0,589739186;P
66;4000;1000000;A-7;-7214477;-382750;23;0,527584901;N
67;4000;1000000;B-7;-7213477;-382750;29;0,902016202;P
68;4000;1000000;C-7;-7212477;-382750;27;0,154651227;P
69;4000;1000000;D-7;-7211477;-382750;27;0,753222346;S
70;4000;1000000;E-7;-7210477;-382750;27;0,508117012;P
71;4000;1000000;F-7;-7209477;-382750;29;0,840197914;N
72;4000;1000000;G-7;-7208477;-382750;31;0,626912466;P
73;4000;1000000;H-7;-7207477;-382750;26;0,436866655;P
74;4000;1000000;I-7;-7206477;-382750;32;0,15695834;N
75;4000;1000000;J-7;-7205477;-382750;28;0,499271088;S
76;4000;1000000;K-7;-7204477;-382750;27;0,562068755;S
77;4000;1000000;L-7;-7203477;-382750;31;0,270674539;P
78;4000;1000000;M-7;-7202477;-382750;22;0,491502183;S
79;4000;1000000;A-6;-7214477;-381750;28;0,551601076;S
80;4000;1000000;B-6;-7213477;-381750;22;0,56466058;P
81;4000;1000000;C-6;-7212477;-381750;31;0,85812291;S
82;4000;1000000;D-6;-7211477;-381750;30;0,928560768;S
83;4000;1000000;E-6;-7210477;-381750;24;0,396480318;N
84;4000;1000000;F-6;-7209477;-381750;29;0,117161274;S
85;4000;1000000;G-6;-7208477;-381750;29;0,020450654;S
86;4000;1000000;H-6;-7207477;-381750;23;0,826968082;N
87;4000;1000000;I-6;-7206477;-381750;25;0,926231747;P
88;4000;1000000;J-6;-7205477;-381750;31;0,842553897;S
89;4000;1000000;K-6;-7204477;-381750;22;0,381608504;S
90;4000;1000000;L-6;-7203477;-381750;28;0,347168773;S
91;4000;1000000;M-6;-7202477;-381750;33;0,069360137;P
92;4000;1000000;A-5;-7214477;-380750;26;0,631278646;S
93;4000;1000000;B-5;-7213477;-380750;26;0,020903519;S
94;4000;1000000;C-5;-7212477;-380750;33;0,237052711;S
95;4000;1000000;D-5;-7211477;-380750;28;0,107151084;N
96;4000;1000000;E-5;-7210477;-380750;22;0,591947464;P
97;4000;1000000;F-5;-7209477;-380750;22;0,394132761;P
98;4000;1000000;G-5;-7208477;-380750;26;0,406383801;P
99;4000;1000000;H-5;-7207477;-380750;22;0,339100929;N
100;4000;1000000;I-5;-7206477;-380750;31;0,801980715;P
101;4000;1000000;J-5;-7205477;-380750;23;0,47170371;N
102;4000;1000000;K-5;-7204477;-380750;33;0,256809329;S
103;4000;1000000;L-5;-7203477;-380750;30;0,447371725;P
104;4000;1000000;M-5;-7202477;-380750;28;0,775011304;P
105;4000;1000000;A-4;-7214477;-379750;32;0,332998191;S
106;4000;1000000;B-4;-7213477;-379750;22;0,996923796;S
107;4000;1000000;C-4;-7212477;-379750;23;0,305150745;N
108;4000;1000000;D-4;-7211477;-379750;23;0,8731142;N
109;4000;1000000;E-4;-7210477;-379750;26;0,271125279;S
110;4000;1000000;F-4;-7209477;-379750;33;0,517067658;P
111;4000;1000000;G-4;-7208477;-379750;22;0,010006656;N
112;4000;1000000;H-4;-7207477;-379750;23;0,440733658;P
113;4000;1000000;I-4;-7206477;-379750;24;0,167012171;P
114;4000;1000000;J-4;-7205477;-379750;27;0,732570404;N
115;4000;1000000;K-4;-7204477;-379750;27;0,121808333;P
116;4000;1000000;L-4;-7203477;-379750;30;0,619968357;P
117;4000;1000000;M-4;-7202477;-379750;29;0,491354594;N
118;4000;1000000;A-3;-7214477;-378750;25;0,257099976;N
119;4000;1000000;B-3;-7213477;-378750;25;0,150520849;P
120;4000;1000000;C-3;-7212477;-378750;24;0,132458854;N
121;4000;1000000;D-3;-7211477;-378750;32;0,879066689;S
122;4000;1000000;E-3;-7210477;-378750;30;0,303974943;S
123;4000;1000000;F-3;-7209477;-378750;22;0,183632247;N
124;4000;1000000;G-3;-7208477;-378750;33;0,743795031;S
125;4000;1000000;H-3;-7207477;-378750;29;0,633574775;S
126;4000;1000000;I-3;-7206477;-378750;29;0,363585606;N
127;4000;1000000;J-3;-7205477;-378750;29;0,653364411;S
128;4000;1000000;K-3;-7204477;-378750;30;0,259230754;S
129;4000;1000000;L-3;-7203477;-378750;27;0,134541587;N
130;4000;1000000;M-3;-7202477;-378750;24;0,874826004;N
131;4000;1000000;A-2;-7214477;-377750;27;0,506577122;P
132;4000;1000000;B-2;-7213477;-377750;28;0,351884894;S
133;4000;1000000;C-2;-7212477;-377750;27;0,217518063;S
134;4000;1000000;D-2;-7211477;-377750;29;0,894335767;N
135;4000;1000000;E-2;-7210477;-377750;32;0,372888462;S
136;4000;1000000;F-2;-7209477;-377750;33;0,511105359;S
137;4000;1000000;G-2;-7208477;-377750;24;0,639246439;P
138;4000;1000000;H-2;-7207477;-377750;27;0,370809594;P
139;4000;1000000;I-2;-7206477;-377750;28;0,523140917;N
140;4000;1000000;J-2;-7205477;-377750;30;0,491052161;S
141;4000;1000000;K-2;-7204477;-377750;24;0,756563949;P
142;4000;1000000;L-2;-7203477;-377750;30;0,54070909;N
143;4000;1000000;M-2;-7202477;-377750;29;0,612641893;S
144;4000;1000000;A-1;-7214477;-376750;22;0,928885949;P
145;4000;1000000;B-1;-7213477;-376750;33;0,231456054;P
146;4000;1000000;C-1;-7212477;-376750;26;0,93618771;S
147;4000;1000000;D-1;-7211477;-376750;22;0,87749926;N
148;4000;1000000;E-1;-7210477;-376750;28;0,364466871;N
149;4000;1000000;F-1;-7209477;-376750;26;0,424978533;S
150;4000;1000000;G-1;-7208477;-376750;28;0,733869319;S
151;4000;1000000;H-1;-7207477;-376750;28;0,549014737;N
152;4000;1000000;I-1;-7206477;-376750;29;0,530756982;S
153;4000;1000000;J-1;-7205477;-376750;26;0,07103868;S
154;4000;1000000;K-1;-7204477;-376750;29;0,832803947;S
155;4000;1000000;L-1;-7203477;-376750;32;0,204658424;N
156;4000;1000000;M-1;-7202477;-376750;25;0,52128867;N
